time,V1,V2,I1,I2
0,0.00,0.00,0.035,0.029
1,0.00,0.00,0.035,0.036
2,0.00,0.00,0.011,0.028
3,0.00,0.00,0.030,0.018
4,0.00,0.00,0.027,0.028
5,0.00,0.00,0.009,0.035
6,0.00,0.00,0.027,0.035
7,0.00,0.00,0.016,0.032
8,0.00,0.00,0.022,0.018
9,12.24,0.00,0.123,0.046
10,12.24,0.00,0.107,0.049
11,12.27,0.00,0.118,0.038
12,12.29,0.00,0.112,0.054
13,12.27,0.00,0.107,0.058
14,12.27,0.00,0.104,0.027
15,12.27,0.00,0.094,0.055
16,12.27,0.00,0.095,0.052
17,12.27,0.00,0.110,0.043
18,12.27,0.00,0.105,0.047
19,12.27,0.00,0.071,0.028
20,12.29,0.00,0.119,0.032
21,12.27,0.00,0.103,0.033
22,12.29,0.00,0.112,0.050
23,12.29,0.00,0.101,0.040
24,12.24,0.00,0.102,0.049
25,12.29,0.00,0.110,0.035
26,12.02,0.00,0.113,0.053
27,12.27,0.00,0.101,0.030
28,12.27,0.00,0.107,0.029
29,12.32,0.00,0.091,0.045
30,12.24,0.00,0.090,0.021
31,12.27,0.00,0.118,0.047
32,12.29,0.00,0.099,0.038
33,12.24,0.00,0.106,0.050
34,12.27,0.00,0.111,0.044
35,12.29,0.00,0.099,0.018
36,12.27,0.00,0.128,0.029
37,12.29,0.00,0.110,0.044
38,12.27,0.00,0.093,0.028
39,12.29,0.00,0.081,0.044
40,12.27,0.00,0.097,0.041
41,12.24,0.00,0.082,0.025
42,12.24,0.00,0.114,0.029
43,12.29,0.00,0.116,0.047
44,12.27,0.00,0.103,0.061
45,12.29,0.00,0.099,0.032
46,12.27,0.00,0.101,0.032
47,12.29,0.00,0.104,0.042
48,12.27,0.00,0.108,0.036
49,12.24,0.00,0.116,0.039
50,12.24,0.00,0.093,0.050
51,12.27,0.00,0.106,0.027
52,12.22,0.00,0.108,0.060
53,12.27,0.00,0.107,0.054
54,12.24,0.00,0.081,0.041
55,12.27,0.00,0.112,0.042
56,12.29,0.00,0.105,0.040
57,12.27,0.00,0.097,0.038
58,12.27,0.00,0.104,0.037
59,12.29,0.00,0.116,0.035
60,12.27,0.00,0.105,0.046
61,12.24,0.00,0.101,0.057
62,12.27,0.00,0.110,0.042
63,12.29,0.00,0.107,0.039
64,12.29,0.00,0.103,0.047
65,12.32,0.00,0.113,0.029
66,12.27,0.00,0.105,0.044
67,12.27,0.00,0.127,0.038
68,12.27,0.00,0.123,0.054
69,12.27,0.00,0.102,0.045
70,12.27,0.00,0.095,0.068
71,12.27,0.00,0.106,0.023
72,12.22,0.00,0.091,0.044
73,12.27,0.00,0.090,0.055
74,12.27,0.00,0.114,0.049
75,12.24,0.00,0.100,0.039
76,12.27,0.00,0.109,0.047
77,12.27,0.00,0.099,0.042
78,12.29,0.00,0.101,0.061
79,12.29,0.00,0.118,0.058
80,12.29,0.00,0.093,0.033
81,12.27,0.00,0.108,0.056
82,12.27,0.00,0.093,0.056
83,12.27,0.00,0.090,0.021
84,12.27,0.00,0.099,0.044
85,12.27,0.00,0.100,0.049
86,12.24,0.00,0.087,0.038
87,12.27,0.00,0.100,0.047
88,12.27,0.00,0.114,0.043
89,12.27,0.00,0.118,0.062
90,12.27,0.00,0.121,0.029
91,12.27,0.00,0.128,0.058
92,12.22,0.00,0.124,0.037
93,12.29,0.00,0.105,0.029
94,12.24,0.00,0.119,0.048
95,12.29,0.00,0.105,0.023
96,12.24,0.00,0.133,0.024
97,12.27,0.00,0.125,0.062
98,12.27,0.00,0.105,0.026
99,12.29,0.00,0.099,0.055
100,12.24,0.00,0.105,0.038
101,12.24,0.00,0.102,0.030
102,12.29,0.00,0.100,0.049
103,12.29,0.00,0.107,0.040
104,12.24,0.00,0.105,0.042
105,12.24,0.00,0.094,0.046
106,12.29,0.00,0.112,0.052
107,12.27,0.00,0.112,0.058
108,12.24,0.00,0.105,0.047
109,12.27,0.00,0.106,0.025
110,12.24,12.24,0.099,0.039
111,12.22,12.24,0.090,0.072
112,12.29,12.27,0.108,0.057
113,12.24,12.29,0.118,0.043
114,12.24,12.27,0.119,0.043
115,12.24,12.22,0.113,0.047
116,12.24,12.29,0.121,0.061
117,12.29,12.27,0.113,0.064
118,12.27,12.27,0.116,0.046
119,12.27,12.24,0.106,0.055
120,12.27,12.27,0.095,0.064
121,12.24,12.27,0.101,0.052
122,12.29,12.24,0.111,0.045
123,12.27,12.27,0.093,0.061
124,12.22,12.24,0.098,0.052
125,12.27,12.24,0.118,0.065
126,12.27,12.27,0.113,0.033
127,12.27,12.27,0.089,0.049
128,12.24,12.29,0.111,0.052
129,12.22,12.27,0.110,0.041
130,12.19,12.27,0.117,0.041
131,12.27,12.29,0.109,0.069
132,12.24,12.27,0.086,0.035
133,12.24,12.27,0.105,0.038
134,12.29,12.27,0.114,0.057
135,12.27,12.27,0.116,0.062
136,12.22,12.27,0.112,0.039
137,12.27,12.27,0.115,0.057
138,12.27,12.27,0.116,0.065
139,12.29,12.27,0.099,0.058
140,12.27,12.27,0.097,0.042
141,12.27,12.22,0.098,0.059
142,12.27,12.27,0.115,0.031
143,12.24,12.24,0.107,0.052
144,12.24,12.27,0.119,0.061
145,12.27,12.24,0.109,0.049
146,12.27,12.29,0.118,0.055
147,12.27,12.29,0.101,0.049
148,12.27,12.27,0.097,0.029
149,12.27,12.27,0.125,0.060
150,12.24,12.27,0.096,0.048
151,12.27,12.29,0.119,0.049
152,12.24,12.22,0.103,0.057
153,12.24,12.27,0.090,0.049
154,12.29,12.24,0.116,0.058
155,12.27,12.22,0.110,0.044
156,12.27,12.22,0.118,0.042
157,12.24,12.24,0.119,0.044
158,12.22,12.24,0.086,0.031
159,12.27,12.27,0.112,0.032
160,12.24,12.24,0.106,0.056
161,12.27,12.27,0.113,0.041
162,12.24,12.29,0.105,0.039
163,12.29,12.27,0.117,0.055
164,12.27,12.27,0.107,0.047
165,12.29,12.32,0.124,0.051
166,12.27,12.29,0.102,0.045
167,12.29,12.27,0.150,0.063
168,12.29,12.22,0.102,0.051
169,12.27,12.27,0.125,0.049
170,12.19,12.24,0.100,0.046
171,12.29,12.29,0.110,0.049
172,12.27,12.27,0.106,0.071
173,12.24,12.24,0.125,0.038
174,12.22,12.27,0.127,0.051
175,12.27,12.27,0.130,0.055
176,12.24,12.27,0.144,0.047
177,12.22,12.27,0.142,0.057
178,12.22,12.27,0.131,0.071
179,12.27,12.29,0.116,0.037
180,12.22,12.27,0.145,0.032
181,12.29,12.24,0.110,0.041
182,12.27,12.27,0.104,0.050
183,12.27,12.27,0.128,0.055
184,12.24,12.27,0.107,0.044
185,12.27,12.27,0.118,0.032
186,12.27,12.24,0.122,0.045
187,12.29,12.24,0.114,0.041
188,12.29,12.27,0.113,0.032
189,12.24,12.27,0.116,0.058
190,12.24,12.24,0.112,0.032
191,12.27,12.29,0.099,0.031
192,12.27,12.27,0.097,0.041
193,12.22,12.27,0.092,0.033
194,12.24,12.27,0.114,0.054
195,12.27,12.22,0.105,0.059
196,12.24,12.27,0.092,0.059
197,12.24,12.32,0.114,0.053
198,12.24,12.24,0.107,0.041
199,12.27,12.22,0.091,0.044
200,12.22,12.24,0.116,0.044
201,12.29,12.27,0.121,0.049
202,12.27,12.27,0.102,0.045
203,12.27,12.17,0.119,0.044
204,12.24,12.24,0.110,0.052
205,12.27,12.29,0.102,0.049
206,12.24,12.27,0.122,0.047
207,12.27,12.29,0.093,0.041
208,12.27,12.27,0.112,0.038
